dataset_id,method,metric,k0,hyperparam_name,hyperparam_value,hyperparam_label,tsne_perplexity,umap_n_neighbors,T_value,V_value,null_mean,null_sd,null_q95,z_value,p_value,certified_above_null,source_block,protocol_source,b_used,max_pairs_used,n_points_used,subsample_frac,tau,run_null,random_state,representation_description,label_construction_note,n_raw,n_original,n_used,cap_policy,number_of_classes_retained,min_class_support,median_class_support,max_class_support,rank_T_desc,rank_V_desc,n_hyperparam_settings,missing_hyperparams_json,hyperparam_grid_complete,b_min,b_max,pairs_min,pairs_max,n_points_min,n_points_max,group_protocol_candidate_count,group_protocol_uniform,table_family,n_samples,n_samples_source,requested_cap_inferred,requested_cap_source,n_target_auto,n_target_source,n_target,n_target_mode,n_target_active_source,meets_nominal_target,compute_tier_group,compute_tier,compute_status,protocol_note
20newsgroups,tsne,ari,20,tsne_perplexity,50.0,perp=50,50.0,,0.7305346319927574,0.145470202566146,6.040699984285263e-08,4.014543623527102e-06,7.527876250772115e-06,181972.00979570468,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,3,3,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,ari,20,tsne_perplexity,100.0,perp=100,100.0,,0.7765078934066146,0.1516989745307256,1.3244938598008016e-07,3.968545239796153e-06,7.001087194390037e-06,195665.59382276676,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,1,2,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,jaccard,20,tsne_perplexity,5.0,perp=5,5.0,,0.5322119364297031,0.0925859419551249,0.026133570828771,1.853143788175135e-06,0.0261363936386225,273091.796130557,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,6,6,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,jaccard,20,tsne_perplexity,10.0,perp=10,10.0,,0.598467999864074,0.1028543360204617,0.0261722320432162,1.909250895472802e-06,0.0261756192272554,299748.853949934,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,2,5,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,jaccard,20,tsne_perplexity,15.0,perp=15,15.0,,0.5754163164682716,0.1042268269543224,0.0261653564377016,1.8864798332523424e-06,0.0261684243112019,291151.2491939267,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,4,4,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,jaccard,20,tsne_perplexity,30.0,perp=30,30.0,,0.5672591611526613,0.1091741752877553,0.0265701328055723,1.910919432079213e-06,0.026573416788235,282947.05641188746,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,5,1,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,jaccard,20,tsne_perplexity,50.0,perp=50,50.0,,0.597782404329771,0.104723664979624,0.0271417557249196,2.005813065287718e-06,0.0271454867554081,284493.4348470791,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,3,3,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,tsne,jaccard,20,tsne_perplexity,100.0,perp=100,100.0,,0.65655788012485,0.1082967053597402,0.0270575966249828,1.9828322099721784e-06,0.027061028528738,317475.31653659174,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,1,2,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ami,20,umap_n_neighbors,5.0,n_neighbors=5,,5.0,0.8778423223240311,0.2248916413308292,-3.285817694986806e-07,1.3237277933908146e-05,2.2521383759405344e-05,66315.94919202759,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,6,6,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ami,20,umap_n_neighbors,10.0,n_neighbors=10,,10.0,0.8786873993142663,0.2655654375535171,5.058732747887057e-07,1.170051379131562e-05,1.808661296198648e-05,75098.14603980658,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,5,5,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
