dataset_id,method,metric,K,T_mean,T_sd_pairs,V_mean,null_mean,null_sd,null_q95,p_value,z_score,pairs_used,source_block,b_used,max_pairs_used,n_points_used,subsample_frac,null_trials,alpha_bh,protocol_source,k_at_max_T,k_at_max_V,k_at_max_Z,max_T,max_V,max_Z,bh_reject,k_bh,is_k_bh,alpha_bh_used,alpha_source,b_min,b_max,pairs_min,pairs_max,n_points_min,n_points_max,precomputed_candidate_count,row_tuple_candidate_count,group_protocol_uniform,table_family,n_samples,requested_cap_inferred,requested_cap_source,n_target_auto,n_target_source,n_target_full,n_target_full_source,n_target,n_target_mode,n_target_active_source,meets_nominal_target,compute_tier_group,compute_tier,compute_status,protocol_note,group_protocol_candidate_count,protocol_candidates_json,T_minus_q95,T_minus_null_mean,validity_present
20newsgroups,tsne,ari,3,0.9806767841847328,0.0109104995915641,0.0594786953528528,7.557850392632039e-07,2.4496545636948137e-05,3.7899422057286944e-05,0.0049751243781094,40033.237458612944,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.9806388847626755,0.9806760283996936,True
20newsgroups,tsne,ari,5,0.9495586184563838,0.0313720321943839,0.0819504417002118,-2.651734982982043e-06,2.5574305860926822e-05,3.520560845685225e-05,0.0049751243781094,37129.50315660901,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.949523412847927,0.9495612701913667,True
20newsgroups,tsne,ari,8,0.8601962821171834,0.1405812556395639,0.1097987301895585,8.182239239080594e-07,2.50747158496158e-05,3.94242854864396e-05,0.0049751243781094,34305.29259243588,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.8601568578316969,0.8601954638932594,True
20newsgroups,tsne,ari,10,0.7845436483598707,0.1249894327079931,0.1156128069205324,-1.4417883548055048e-06,2.4845541202077325e-05,3.846925459293045e-05,0.0049751243781094,31576.89678672123,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.7845051791052777,0.7845450901482255,True
20newsgroups,tsne,ari,15,0.788999584528513,0.0856266106477097,0.1275707040067155,-3.987871632072609e-06,2.3356549054041037e-05,3.393101261259038e-05,0.0049751243781094,33780.82826253973,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.7889656535159004,0.7890035724001451,True
20newsgroups,tsne,ari,20,0.744220787359106,0.079438632750635,0.1366624536529038,1.5044493634983444e-06,2.2743121777805016e-05,3.623916456427126e-05,0.0049751243781094,32722.82891419177,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.7441845481945417,0.7442192829097425,True
20newsgroups,tsne,ari,25,0.7154464524336641,0.0645930681204948,0.1336888022375802,1.4253030082346792e-06,2.3055597585698165e-05,3.861540851179434e-05,0.0049751243781094,31031.294004474657,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.7154078370251523,0.7154450271306558,True
20newsgroups,tsne,ari,30,0.7461145229276354,0.0518907876597731,0.1271185785298777,-1.6303352493363845e-06,2.3253224177498e-05,3.591220901286571e-05,0.0049751243781094,32086.567762284627,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,2,0.9806767841847328,0.1366624536529038,40202.44907588018,True,30,True,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.7460786107186225,0.7461161532628847,True
20newsgroups,tsne,jaccard,2,0.9714772123281684,0.02280022024671,0.0684117172828163,0.3334716915324985,1.073839906431664e-05,0.333490389906694,0.0049751243781094,59413.46721931224,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.6379868224214744,0.6380055207956699,True
20newsgroups,tsne,jaccard,3,0.9748133560443232,0.0140144608843198,0.0761652035398095,0.2028904446371391,1.174895380933096e-05,0.2029082540120252,0.0049751243781094,65701.4168184172,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.771905102032298,0.771922911407184,True
