dataset_id,method,metric,k,rep_mean,rep_std,q10,pairs_used,null_mu0,null_sigma0,z_score,p_value,null_q025,null_q975,null_q95,k_eff_mean,min_size_mean,n_small_2_mean,metric_vs_gt_mean,metric_vs_gt_std,ari_vs_gt_mean,ari_vs_gt_std,ami_vs_gt_mean,ami_vs_gt_std
20newsgroups,tsne,ari,2,0.9890906823731096,0.007489727157639217,0.9792965309832794,1039,5.303468500782379e-07,2.3595180989342725e-05,41919.15936025257,0.004975124378109453,-4.055422749293927e-05,4.793110751425637e-05,4.224414291438574e-05,1.9938161131629493,1133.95,0.0,0.04047629242602642,0.00081800454215471,0.04047629242602642,0.00081800454215471,0.12441180128544384,0.0028607548241993
20newsgroups,tsne,ari,20,0.7247768544126617,0.07001133035624434,0.6392612151296723,1039,4.97285927508934e-07,2.2797583908831326e-05,31791.805659106285,0.004975124378109453,-3.770303126604449e-05,4.5061526647316016e-05,3.529257035834623e-05,18.177730946779434,51.365,0.0,0.12724596660889462,0.005436138141807857,0.12724596660889462,0.005436138141807857,0.2594139754792093,0.005483634809034821
20newsgroups,tsne,ari,30,0.7295930134175104,0.052380243141403666,0.6644321266143968,1039,-2.7347601337454476e-07,2.340292689149463e-05,31175.300861990952,0.004975124378109453,-5.029539498591846e-05,4.041695047276044e-05,3.397743067622905e-05,27.79461591127779,32.455,0.0,0.12236104969565063,0.005523443145761654,0.12236104969565063,0.005523443145761654,0.25828731254513554,0.005324839010405862
