dataset_id,method,metric,scenario,scenario_type,n_k,uncorrected_rejections_at_alpha_0p05,K_BH,median_p_value,frac_p_le_0p05,max_T_minus_q95,fraction,b,pairs_per_k,n_null,max_points,seed
mnist,umap,ami,real_embedding_real_labels,reference,7,7,20,0.004975124378109453,1.0,0.9997274460657881,0.8,80,1200,200,3000,123
mnist,umap,ami,rand2d_embedding_real_labels,negative_control,7,7,20,0.004975124378109453,1.0,0.8646969797425975,0.8,80,1200,200,3000,123
