dataset_id,method,metric,max_theta_T_fixed_k0,max_theta_V_fixed_k0,T_at_theta_T_star,V_at_theta_T_star,T_at_theta_V_star,V_at_theta_V_star,T_old_k0_slice,V_old_k0_slice,T_best_over_K,V_best_over_K,fixed_k0_better_on_T_vs_K0sweep,fixed_k0_better_on_V_vs_K0sweep,fixed_k0_better_on_T_vs_bestK,fixed_k0_better_on_V_vs_bestK,delta_T_vs_K0sweep,delta_V_vs_K0sweep,delta_T_vs_bestK,delta_V_vs_bestK
20newsgroups,tsne,ami,0.8743523142898058,0.2761068009124365,0.8743523142898058,0.2761068009124365,0.8743523142898058,0.2761068009124365,0.8568145857804459,0.2626790887286958,0.9665469452448788,0.2661753716641174,True,True,False,True,0.0175377285093598,0.0134277121837407,-0.092194630955073,0.009931429248319
20newsgroups,tsne,ari,0.7765078934066146,0.153597335326873,0.7765078934066146,0.1516989745307256,0.7033172145325246,0.153597335326873,0.744220787359106,0.1366624536529038,0.9806767841847328,0.1366624536529038,True,True,False,True,0.0322871060475086,0.0150365208778217,-0.2041688907781181,0.0150365208778217
20newsgroups,tsne,jaccard,0.65655788012485,0.1091741752877553,0.65655788012485,0.1082967053597402,0.5672591611526613,0.1091741752877553,0.6163879641618298,0.0998174104255392,0.9748133560443232,0.0998174104255392,True,True,False,True,0.0401699159630201,0.008479294934201,-0.3182554759194732,0.008479294934201
20newsgroups,umap,ami,0.8995171198443046,0.2811534510741337,0.8995171198443046,0.2742386680994434,0.8890740348393185,0.2811534510741337,0.8824736339414365,0.2523133977580796,0.9491361870657228,0.2602715934038454,True,True,False,True,0.017043485902868,0.0219252703413638,-0.0496190672214181,0.0139670746955979
20newsgroups,umap,ari,0.8064533070830247,0.1475465106959576,0.8064533070830247,0.1399098025533184,0.7889559739341006,0.1475465106959576,0.7750357377512224,0.1203854200230467,0.969200309407448,0.1206082659549613,True,True,False,True,0.0314175693318022,0.0195243825302716,-0.1627470023244233,0.019301536598357
20newsgroups,umap,jaccard,0.6996786514616882,0.1068360626418208,0.6996786514616882,0.1024526116673969,0.6743518465415296,0.1068360626418208,0.6571270685058205,0.0916724309488585,0.9708203796137512,0.0916724309488585,True,True,False,True,0.0425515829558676,0.0107801807185383,-0.271141728152063,0.0107801807185383
ag_news,tsne,ami,0.9822264542850944,0.2638166286658177,0.9822264542850944,0.2638166286658177,0.9822264542850944,0.2638166286658177,0.8915728646896075,0.2363613774414095,0.963450408880446,0.243308736523565,True,True,True,True,0.0906535895954868,0.0274552512244081,0.0187760454046483,0.0205078921422526
ag_news,tsne,ari,0.9861145629733522,0.2626154843210934,0.9861145629733522,0.2626154843210934,0.9861145629733522,0.2626154843210934,0.9861145629733522,0.2626154843210934,0.9861145629733522,0.2626154843210934,False,False,False,False,0.0,0.0,0.0,0.0
ag_news,tsne,jaccard,0.9818669029973028,0.2897801854238762,0.9818669029973028,0.2897801854238762,0.9818669029973028,0.2897801854238762,0.9818669029973028,0.2897801854238762,0.9818669029973028,0.2897801854238762,False,False,False,False,0.0,0.0,0.0,0.0
ag_news,umap,ami,0.968039869283036,0.1774206692703025,0.968039869283036,0.0607668275678539,0.6748399801431195,0.1774206692703025,0.6950315728596121,0.1285794894770854,0.9398636617038884,0.2448390657633412,True,False,True,False,0.2730082964234238,-0.0678126619092314,0.0281762075791476,-0.1840722381954873
ag_news,umap,ari,0.9753082466137116,0.1627968079796125,0.9753082466137116,0.1430374782044442,0.6201702139487182,0.1627968079796125,0.8698398095373715,0.1407167911142256,0.942528814620681,0.1468452045545944,True,True,True,False,0.1054684370763401,0.0023206870902185,0.0327794319930305,-0.0038077263501501
ag_news,umap,jaccard,0.9706312098886244,0.2455860957709935,0.9706312098886244,0.2006126427095896,0.970083813611586,0.2455860957709935,0.8408373042144897,0.2332785799074157,0.9341387043667904,0.246661172658908,True,False,True,False,0.1297939056741347,-0.0326659371978261,0.036492505521834,-0.0460485299493184
cifar10,tsne,ami,0.956846141935102,0.496499503202592,0.956846141935102,0.4806683928435122,0.930943003847929,0.496499503202592,0.887572428969882,0.4511822166770216,0.9888484992361528,0.4712554512808523,True,True,False,True,0.06927371296522,0.0294861761664906,-0.0320023573010508,0.0094129415626599
cifar10,tsne,ari,0.9557835026858196,0.3752218183066858,0.9557835026858196,0.3682727971791293,0.9456780812801432,0.3752218183066858,0.915511484219217,0.4081376087464632,0.995867404690032,0.4081376087464632,True,False,False,False,0.0402720184666025,-0.0398648115673339,-0.0400839020042124,-0.0398648115673339
cifar10,tsne,jaccard,0.9243277068374224,0.2804008357394813,0.9243277068374224,0.2753353736716753,0.9081648044140488,0.2804008357394813,0.9081648044140488,0.2804008357394813,0.9986953165552772,0.3000670059950695,True,False,False,False,0.0161629024233735,-0.005065462067806,-0.0743676097178548,-0.0247316323233942
cifar10,umap,ami,0.9585359705731012,0.5036304100278468,0.9585359705731012,0.4962126139314092,0.9244421742740764,0.5036304100278468,0.9438321990228604,0.4944004935370249,1.0,0.5110946340751823,True,True,False,False,0.0147037715502408,0.0018121203943842,-0.0414640294268987,-0.0148820201437731
cifar10,umap,ari,0.9552909742009578,0.3775121600967122,0.9552909742009578,0.3706357795109129,0.8721159043518664,0.3775121600967122,0.9267260406233944,0.4113087776942757,0.9999248398092552,0.4113087776942757,True,False,False,False,0.0285649335775634,-0.0406729981833627,-0.0446338656082974,-0.0406729981833627
cifar10,umap,jaccard,0.9234895016894537,0.2822746529176532,0.9234895016894537,0.2772521505676644,0.8030606858086535,0.2822746529176532,0.9234895016894537,0.2772521505676644,0.9988352503300988,0.3027889610935592,False,False,False,False,0.0,0.0,-0.0753457486406451,-0.0255368105258947
mnist,tsne,ami,0.9868455496362872,0.7932345098758969,0.9868455496362872,0.7789931762708485,0.9754056332347992,0.7932345098758969,0.985852868706919,0.7897728664482063,0.9874447526608788,0.7897728664482063,True,False,False,False,0.0009926809293682,-0.0107796901773578,-0.0005992030245915,-0.0107796901773578
mnist,tsne,ari,0.9882924261445096,0.7465795755457881,0.9882924261445096,0.7295674556367409,0.9716983457319298,0.7465795755457881,0.9868615872159956,0.7444024192381974,0.9943426847251507,0.7444024192381974,True,False,False,False,0.001430838928514,-0.0148349636014565,-0.0060502585806411,-0.0148349636014565
mnist,tsne,jaccard,0.9792102072027696,0.6289191448741396,0.9792102072027696,0.608773702827946,0.9508887987400756,0.6289191448741396,0.9767063062826936,0.6261481290714727,0.9943752405794536,0.6261481290714727,True,False,False,False,0.002503900920076,-0.0173744262435266,-0.0151650333766839,-0.0173744262435266
mnist,umap,ami,0.9954766359065412,0.7990206650955269,0.9954766359065412,0.7990206650955269,0.9954766359065412,0.7990206650955269,0.990444067246021,0.7988544058205378,0.9981725150604344,0.7988544058205378,True,True,False,True,0.0050325686605202,0.0001662592749891,-0.0026958791538931,0.0001662592749891
mnist,umap,ari,0.994934010214668,0.7323250661389659,0.994934010214668,0.7247988514181247,0.913940428235165,0.7323250661389659,0.9861699436163566,0.7228493531701307,0.999050329311624,0.7228493531701307,True,True,False,True,0.0087640665983114,0.001949498247994,-0.0041163190969559,0.001949498247994
mnist,umap,jaccard,0.991400081758484,0.6133596333662484,0.991400081758484,0.6047716300264624,0.8640591629017751,0.6133596333662484,0.976891118777374,0.6025613836004663,0.9985441624226706,0.6025613836004663,True,True,False,True,0.01450896298111,0.002210246425996,-0.0071440806641865,0.002210246425996
olivetti_faces,tsne,ami,0.9045589007831988,0.7057783276718433,0.9045589007831988,0.7057783276718433,0.9045589007831988,0.7057783276718433,0.8518278006174133,0.6656978156934715,0.9708250520576728,0.6656978156934715,True,True,False,True,0.0527311001657855,0.0400805119783718,-0.066266151274474,0.0400805119783718
olivetti_faces,tsne,ari,0.8190707776137506,0.5575086088449632,0.8190707776137506,0.552511598159821,0.8002989818184191,0.5575086088449632,0.7590413485436108,0.5138612927613023,0.9825570688943476,0.5138612927613023,True,True,False,True,0.0600294290701397,0.0386503053985186,-0.163486291280597,0.0386503053985186
olivetti_faces,tsne,jaccard,0.7022747713438119,0.3967546022150896,0.7022747713438119,0.3922109172795484,0.6757015181981992,0.3967546022150896,0.6214828503311649,0.3562961149713406,0.984101228671887,0.3562961149713406,True,True,False,True,0.0807919210126469,0.0359148023082077,-0.2818264573280751,0.0359148023082077
olivetti_faces,umap,ami,0.924027265016633,0.7162438384128447,0.924027265016633,0.7162438384128447,0.924027265016633,0.7162438384128447,0.8790724217080494,0.6475224193817714,0.995878260685242,0.6475224193817714,True,True,False,True,0.0449548433085835,0.0687214190310733,-0.0718509956686089,0.0687214190310733
olivetti_faces,umap,ari,0.8617433102222918,0.5602839715259779,0.8617433102222918,0.5443766678684028,0.8480714845046093,0.5602839715259779,0.8015448655248327,0.5040993510579014,0.9982038649275552,0.5040993510579014,True,True,False,True,0.060198444697459,0.0402773168105013,-0.1364605547052634,0.0402773168105013
olivetti_faces,umap,jaccard,0.763894439828838,0.3997153911544643,0.763894439828838,0.3841328246587329,0.7445526951932295,0.3997153911544643,0.6772640408457588,0.3474786424650798,0.9988273702767764,0.3474786424650798,True,True,False,True,0.0866303989830792,0.036654182193653,-0.2349329304479384,0.036654182193653
uci_har,tsne,ami,0.9876687125116036,0.6703007561564869,0.9876687125116036,0.6703007561564869,0.9876687125116036,0.6703007561564869,0.9484623765822776,0.6065626252329668,1.0,0.6689971205183644,True,True,False,True,0.0392063359293259,0.0637381309235201,-0.0123312874883964,0.0013036356381225
uci_har,tsne,ari,0.9906651632466614,0.5773595590981241,0.9906651632466614,0.5773595590981241,0.9906651632466614,0.5773595590981241,0.9906651632466614,0.5773595590981241,1.0,0.5887338528477364,False,False,False,False,0.0,0.0,-0.0093348367533385,-0.0113742937496122
uci_har,tsne,jaccard,0.9846558194308436,0.4799473698962078,0.9846558194308436,0.4799473698962078,0.9846558194308436,0.4799473698962078,0.9846558194308436,0.4799473698962078,1.0,0.5078558468864478,False,False,False,False,0.0,0.0,-0.0153441805691564,-0.02790847699024
uci_har,umap,ami,0.9842718815640624,0.6875778936449666,0.9842718815640624,0.6801287504166182,0.9775954470984496,0.6875778936449666,0.9816727433288434,0.622848863941166,1.0,0.6930923727494367,True,True,False,False,0.002599138235219,0.0572798864754522,-0.0157281184359375,-0.0129636223328184
uci_har,umap,ari,0.9875176167646604,0.5800797762158885,0.9875176167646604,0.5460777066874419,0.9770474784676898,0.5800797762158885,0.9513421183635042,0.4939742158261921,1.0,0.5584482030047532,True,True,False,False,0.0361754984011561,0.0521034908612498,-0.0124823832353395,-0.0123704963173112
uci_har,umap,jaccard,0.9801936171590534,0.4927044570879437,0.9801936171590534,0.4819698807100341,0.9683813836436004,0.4927044570879437,0.925194973875214,0.4088977261034894,1.0,0.481478205177854,True,True,False,True,0.0549986432838394,0.0730721546065447,-0.0198063828409466,0.0004916755321801
