dataset_id,method,metric,k0,theta_T_star,theta_V_star,theta_T_star_set_json,theta_V_star_set_json,n_theta_T_star,n_theta_V_star,argmax_match,T_at_theta_T_star,V_at_theta_T_star,T_at_theta_V_star,V_at_theta_V_star,delta_opt_abs,z_at_theta_T_star,certified_theta_T_star,certified_theta_V_star,spearman_T_V,kendall_T_V,selection_regret,top2_overlap,pairwise_concordance,n_hyperparam_settings
MNIST,t-SNE,ARI,10,perp=50,perp=15,"[""perp=50""]","[""perp=15""]",1,1,False,0.9882924261445096,0.7295674556367409,0.9716983457319298,0.7465795755457881,0.0170121199090472,69828.66510842863,True,True,0.3714285714285715,0.3333333333333333,0.0170121199090472,1,0.6666666666666666,6
MNIST,t-SNE,JACCARD,10,perp=50,perp=15,"[""perp=50""]","[""perp=15""]",1,1,False,0.9792102072027696,0.608773702827946,0.9508887987400756,0.6289191448741396,0.0201454420461936,131208.44431229675,True,True,0.3714285714285715,0.3333333333333333,0.0201454420461936,1,0.6666666666666666,6
MNIST,UMAP,AMI,10,n_neighbors=10,n_neighbors=10,"[""n_neighbors=10""]","[""n_neighbors=10""]",1,1,True,0.9954766359065412,0.7990206650955269,0.9954766359065412,0.7990206650955269,0.0,33789.650738909775,True,True,0.6571428571428573,0.6,0.0,2,0.8,6
MNIST,UMAP,ARI,10,n_neighbors=10,n_neighbors=30,"[""n_neighbors=10""]","[""n_neighbors=30""]",1,1,False,0.994934010214668,0.7247988514181247,0.913940428235165,0.7323250661389659,0.0075262147208411,51699.38988932446,True,True,0.0857142857142857,0.2,0.0075262147208411,1,0.6,6
MNIST,UMAP,JACCARD,10,n_neighbors=10,n_neighbors=30,"[""n_neighbors=10""]","[""n_neighbors=30""]",1,1,False,0.991400081758484,0.6047716300264624,0.8640591629017751,0.6133596333662484,0.008588003339786,97297.3562419035,True,True,0.0857142857142857,0.2,0.008588003339786,1,0.6,6
Olivetti Faces,t-SNE,AMI,40,perp=5,perp=5,"[""perp=5""]","[""perp=5""]",1,1,True,0.9045589007831988,0.7057783276718433,0.9045589007831988,0.7057783276718433,0.0,2276.982062052639,True,True,1.0,1.0,0.0,2,1.0,6
Olivetti Faces,t-SNE,ARI,40,perp=5,perp=10,"[""perp=5""]","[""perp=10""]",1,1,False,0.8190707776137506,0.552511598159821,0.8002989818184191,0.5575086088449632,0.0049970106851422,4559.45608193917,True,True,0.942857142857143,0.8666666666666667,0.0049970106851422,2,0.9333333333333332,6
Olivetti Faces,t-SNE,JACCARD,40,perp=5,perp=10,"[""perp=5""]","[""perp=10""]",1,1,False,0.7022747713438119,0.3922109172795484,0.6757015181981992,0.3967546022150896,0.0045436849355412,7666.933849171023,True,True,0.942857142857143,0.8666666666666667,0.0045436849355412,2,0.9333333333333332,6
Olivetti Faces,UMAP,AMI,40,n_neighbors=5,n_neighbors=5,"[""n_neighbors=5""]","[""n_neighbors=5""]",1,1,True,0.924027265016633,0.7162438384128447,0.924027265016633,0.7162438384128447,0.0,2378.7085383894423,True,True,1.0,1.0,0.0,2,1.0,6
Olivetti Faces,UMAP,ARI,40,n_neighbors=10,n_neighbors=5,"[""n_neighbors=10""]","[""n_neighbors=5""]",1,1,False,0.8617433102222918,0.5443766678684028,0.8480714845046093,0.5602839715259779,0.015907303657575,5192.440465058632,True,True,0.942857142857143,0.8666666666666667,0.015907303657575,2,0.9333333333333332,6
Olivetti Faces,UMAP,JACCARD,40,n_neighbors=10,n_neighbors=5,"[""n_neighbors=10""]","[""n_neighbors=5""]",1,1,False,0.763894439828838,0.3841328246587329,0.7445526951932295,0.3997153911544643,0.0155825664957314,9056.292142683364,True,True,0.942857142857143,0.8666666666666667,0.0155825664957314,2,0.9333333333333332,6
UCI HAR,t-SNE,AMI,6,perp=30,perp=30,"[""perp=30""]","[""perp=30""]",1,1,True,0.9876687125116036,0.6703007561564869,0.9876687125116036,0.6703007561564869,0.0,53735.1910365036,True,True,0.7142857142857143,0.6,0.0,1,0.8,6
UCI HAR,t-SNE,ARI,6,perp=30,perp=30,"[""perp=30""]","[""perp=30""]",1,1,True,0.9906651632466614,0.5773595590981241,0.9906651632466614,0.5773595590981241,0.0,74252.23255627186,True,True,0.7142857142857143,0.6,0.0,1,0.8,6
UCI HAR,t-SNE,JACCARD,6,perp=30,perp=30,"[""perp=30""]","[""perp=30""]",1,1,True,0.9846558194308436,0.4799473698962078,0.9846558194308436,0.4799473698962078,0.0,134936.20984879398,True,True,0.7142857142857143,0.6,0.0,1,0.8,6
UCI HAR,UMAP,AMI,6,n_neighbors=10,n_neighbors=5,"[""n_neighbors=10""]","[""n_neighbors=5""]",1,1,False,0.9842718815640624,0.6801287504166182,0.9775954470984496,0.6875778936449666,0.0074491432283483,46113.363539088656,True,True,0.7714285714285715,0.6,0.0074491432283483,1,0.8,6
UCI HAR,UMAP,ARI,6,n_neighbors=30,n_neighbors=5,"[""n_neighbors=30""]","[""n_neighbors=5""]",1,1,False,0.9875176167646604,0.5460777066874419,0.9770474784676898,0.5800797762158885,0.0340020695284465,69555.32785792433,True,True,0.7142857142857143,0.4666666666666667,0.0340020695284465,1,0.7333333333333333,6
UCI HAR,UMAP,JACCARD,6,n_neighbors=10,n_neighbors=5,"[""n_neighbors=10""]","[""n_neighbors=5""]",1,1,False,0.9801936171590534,0.4819698807100341,0.9683813836436004,0.4927044570879437,0.0107345763779095,21526.329726837143,True,True,0.7714285714285715,0.6,0.0107345763779095,1,0.8,6
