dataset_id,method,metric,M_pairs,replicate_id,K,T_mean,scenario_type,b,R,pairs_pool_size,delta_threshold,max_points,seed
20newsgroups,umap,ari,500,2,20,0.7562039399329147,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,2,0.9458930146862041,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,3,0.9346052513979474,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,5,0.913193575146636,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,8,0.8754264103424083,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,10,0.7094477371004961,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,15,0.8014135838472349,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,500,3,20,0.7572387166102725,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,2,0.946201814895662,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,3,0.9310434173338316,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,5,0.9087083984250124,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,8,0.8537065732079625,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,10,0.7186320101721679,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,15,0.8013926463116864,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,0,20,0.7583731332166169,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,2,0.9526833637667519,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,3,0.9435205238679065,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,5,0.9109743951943767,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,8,0.8661595498320844,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,10,0.7080149007464481,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,15,0.8119746566774223,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,1,20,0.764737983809236,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,2,0.9467052594114301,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,3,0.9276907132679404,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,5,0.9151247331397854,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,8,0.8593803344818579,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,10,0.6940339573022554,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,15,0.8007786650767654,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,2,20,0.7547138071830002,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,2,0.9506004695829214,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,3,0.9292919039128523,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,5,0.9092835098461629,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,8,0.8596248065576465,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,10,0.7042500225055611,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,15,0.8067830926564376,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,1000,3,20,0.766970657784233,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,2,0.9516929171974189,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,3,0.9322716972503606,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,5,0.9082882926621232,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,8,0.8610591895164748,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,10,0.7065466325295641,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,15,0.8049909146619613,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,0,20,0.7622141556925919,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,2,0.9550291840933577,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,3,0.9321640882370196,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,5,0.9061300719551293,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,8,0.8624826108541561,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,10,0.7042732827384705,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,15,0.8023194053035198,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,1,20,0.7601239107359107,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,2,0.9492336425464497,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,3,0.9322451645371783,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,5,0.9056784431902679,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,8,0.8595877297556589,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,10,0.7088223787477712,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,15,0.8057377062393664,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,2,20,0.7603144747212974,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,2,0.9613994957434705,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,3,0.927075941246582,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,5,0.9028276185142887,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,8,0.8584627208964024,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,10,0.7011376257449355,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,15,0.804357439897676,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,2000,3,20,0.7595143834659664,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,2,0.9981322372625836,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,3,0.997379393498265,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,5,0.7774157934387549,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,8,0.7840786973814814,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,10,0.7796294229984079,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,15,0.8074568520474635,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,0,20,0.7752739887568828,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,2,0.9990091317779718,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,3,0.9972148462135948,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,5,0.7880044090978782,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,8,0.7914639022711214,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,10,0.7784849508559846,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,15,0.8110600924987571,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,1,20,0.7835002144344041,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,2,0.9991617357432279,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,3,0.9971612179186501,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,5,0.7314963118294884,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,8,0.8206763991692682,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,10,0.7629677359348732,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,15,0.8012094637832048,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,2,20,0.7880768846915492,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,2,0.9989223447237151,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,3,0.9969322793364271,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,5,0.762924821255615,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,8,0.7825715161288055,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,10,0.755959193005045,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,15,0.8081819572616674,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,250,3,20,0.7777234294081541,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,2,0.9990651941855534,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,3,0.9976974540046344,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,5,0.7456217078524056,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,8,0.8082821969854939,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,10,0.7733799700033831,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,15,0.8100095739271251,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,0,20,0.7798509296841006,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,2,0.9992488235879973,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,3,0.9974784682647818,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,5,0.7662906791796215,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,8,0.8207344286817861,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,10,0.7619860678926061,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,15,0.8025881614584599,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,1,20,0.7740869692480877,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,2,0.9991982710643549,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,3,0.9975264181934302,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,5,0.7484531660616817,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,8,0.8091881254994231,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,10,0.7656739386122932,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,15,0.8006776733195613,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,2,20,0.7775024102008176,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,2,0.9986134428136569,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,3,0.9975305862018632,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,5,0.7802334856771235,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,8,0.8066414047127097,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,10,0.7538218159490043,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,15,0.8135831655045184,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,500,3,20,0.7719164619393148,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,2,0.9987400570725925,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,3,0.9971348151774141,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,5,0.7551419147810667,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,8,0.8142733574878446,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,10,0.7578186562446012,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,15,0.8175114499851035,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,0,20,0.7778879310596163,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ari,1000,1,2,0.9987456117179774,pair_subsampling_convergence,120,4,5000,0.02,3000,123
